INSTNM,STABBR,UGDS,COSTT4_A,C150_4
Judson University,IL,781,39201,0.5311
Knox College,IL,1051,63874,0.7457
Lake Forest College,IL,1724,65637,0.7778
Lewis University,IL,3650,44513,0.6231
Lincoln Christian University,IL,85,21428,0.6341
Loyola University Chicago,IL,11626,62997,0.7087
McKendree University,IL,1528,46576,0.5548
Methodist College,IL,433,36059,0.7368
Millikin University,IL,1603,40918,0.5779
Monmouth College,IL,761,54707,0.5684
Moody Bible Institute,IL,1716,31963,0.6066
National Louis University,IL,3791,23734,0.3067
North Central College,IL,2304,54661,0.6333
North Park University,IL,1866,41988,0.55
Northern Illinois University,IL,11408,26534,0.5308
Northwestern University,IL,8837,83803,0.9652
Northeastern Illinois University,IL,4058,24517,0.1867
Olivet Nazarene University,IL,2460,49685,0.6662
Quincy University,IL,1027,43381,0.5
Rockford University,IL,908,45985,0.4014
Roosevelt University,IL,2362,46360,0.4257
Dominican University,IL,2119,43574,0.587
University of St Francis,IL,1390,43760,0.6495
Saint Xavier University,IL,2963,41127,0.5276
University of Illinois Springfield,IL,2348,24287,0.5322
Southern Illinois University-Carbondale,IL,7922,28970,0.4934
Southern Illinois University-Edwardsville,IL,9283,24429,0.5352
Telshe Yeshiva-Chicago,IL,79,20200,0.1
Trinity Christian College,IL,783,46996,0.6875
Trinity International University-Illinois,IL,409,46333,0.4965
VanderCook College of Music,IL,67,36975,0.5714
Western Illinois University,IL,5196,27039,0.473
Wheaton College,IL,2141,54537,0.8827
Anderson University,IN,1111,48027,0.5934
Ball State University,IN,13466,24478,0.6387
Bethel University,IN,1115,41570,0.5685
Butler University,IN,4304,62673,0.8078
Calumet College of Saint Joseph,IN,562,28094,0.25
DePauw University,IN,1732,70394,0.7925
Earlham College,IN,589,62999,0.7465
University of Evansville,IN,1460,52798,0.6499
Franklin College,IN,859,49403,0.6298
Goshen College,IN,704,47366,0.6378
Grace College and Theological Seminary,IN,1458,39454,0.6633
Hanover College,IN,949,55210,0.6916
Holy Cross College,IN,422,47029,0.3256
Huntington University,IN,1066,40132,0.7056
Purdue University Fort Wayne,IN,5482,19050,0.3569
Indiana University-Purdue University-Indianapolis,IN,17278,21624,0.5634
University of Indianapolis,IN,3444,47597,0.5992
Indiana Institute of Technology,IN,1341,41982,0.3733
University of Southern Indiana,IN,5491,20435,0.5106
Indiana State University,IN,6926,23136,0.4413
Indiana University-Kokomo,IN,2419,13332,0.416
Indiana University-South Bend,IN,3666,15251,0.3616
Indiana University-Bloomington,IN,35401,27131,0.8113
Indiana University-Northwest,IN,2711,13597,0.3732
Indiana University-Southeast,IN,3133,14752,0.3456
Indiana University-East,IN,2472,15899,0.4249
Manchester University,IN,914,46583,0.4807
Marian University,IN,2347,51522,0.6359
Indiana Wesleyan University-Marion,IN,2097,41692,0.6667
Martin University,IN,161,25074,0.2857
University of Notre Dame,IN,8917,78347,0.9633
Oakland City University,IN,604,40024,0.5349
Rose-Hulman Institute of Technology,IN,2154,72651,0.8085
University of Saint Francis-Fort Wayne,IN,1572,43022,0.5575
Saint Mary-of-the-Woods College,IN,801,43905,0.519
Saint Mary's College,IN,1378,63986,0.7488
Taylor University,IN,1767,50672,0.7797
Trine University,IN,2250,48921,0.6508
Valparaiso University,IN,2342,56969,0.6984
Wabash College,IN,835,60150,0.7535
Briar Cliff University,IA,624,48066,0.4306
Buena Vista University,IA,1419,51406,0.5792
Central College,IA,1135,34302,0.7143
Clarke University,IA,724,51322,0.5759
Coe College,IA,1224,62654,0.6524
Cornell College,IA,1056,62571,0.6341
Dordt University,IA,1472,49104,0.6701
Drake University,IA,2794,60642,0.764
University of Dubuque,IA,1439,47851,0.3926
Faith Baptist Bible College and Theological Seminary,IA,313,29489,0.5484
Graceland University-Lamoni,IA,860,46380,0.481
Grand View University,IA,1525,43078,0.5224
Grinnell College,IA,1709,75698,0.8838
Iowa State University,IA,24994,21932,0.7445
Iowa Wesleyan University,IA,734,46894,0.297
University of Iowa,IA,21545,26358,0.7369
Loras College,IA,1192,46656,0.6779
Luther College,IA,1603,61175,0.7423
Maharishi International University,IA,681,28730,0.5
Mercy College of Health Sciences,IA,909,31905,0.44
Morningside University,IA,1175,48778,0.5618
Mount Mercy University,IA,1201,51154,0.5738
Ashford University,CA,26113,30106,0.0961
University of Northern Iowa,IA,7571,20969,0.6384
Northwestern College,IA,1106,47339,0.6299
Saint Ambrose University,IA,2108,48547,0.6402
Simpson College,IA,1115,57690,0.6667
Upper Iowa University,IA,2203,48044,0.4206
Waldorf University,IA,2231,36036,0.2578
Wartburg College,IA,1402,59828,0.6719
William Penn University,IA,1362,39936,0.2987
Baker University,KS,1115,47258,0.479
Benedictine College,KS,2155,51009,0.6764
Bethany College,KS,684,50636,0.2947
Bethel College-North Newton,KS,497,46600,0.5248
Central Christian College of Kansas,KS,464,32981,0.3056
Emporia State University,KS,2663,19376,0.5189
Fort Hays State University,KS,10066,18598,0.5054
Barclay College,KS,152,38490,0.4167
Friends University,KS,993,43844,0.454
Kansas Christian College,KS,188,22426,0.0909
University of Kansas,KS,18539,24888,0.6728
Newman University,KS,883,44536,0.5196
Kansas State University,KS,14762,24923,0.6857
Kansas Wesleyan University,KS,787,44048,0.323
Manhattan Christian College,KS,121,32545,0.5333
McPherson College,KS,812,47059,0.4948
MidAmerica Nazarene University,KS,975,51534,0.419
Ottawa University-Ottawa,KS,851,50165,0.2849
Pittsburg State University,KS,4221,19841,0.5553
University of Saint Mary,KS,798,43809,0.3852
Southwestern College,KS,1050,51374,0.3846
Sterling College,KS,566,42886,0.3672
Tabor College,KS,507,46710,0.4412
Washburn University,KS,3872,20321,0.5418
Wichita State University,KS,10304,20964,0.5159
Alice Lloyd College,KY,538,27810,0.4048
Asbury University,KY,1256,44967,0.7003
Bellarmine University,KY,2275,58078,0.5972
Berea College,KY,1412,54396,0.6187
Brescia University,KY,551,40632,0.4309
Campbellsville University,KY,2749,40775,0.4069
Centre College,KY,1347,60700,0.8675
Clear Creek Baptist Bible College,KY,102,15723,0.5
University of the Cumberlands,KY,4609,24278,0.4425
Eastern Kentucky University,KY,11215,21228,0.4924
Georgetown College,KY,1204,55456,0.4613
Kentucky Mountain Bible College,KY,71,16340,0.5625
Kentucky State University,KY,1343,21223,0.3229
Kentucky Wesleyan College,KY,760,41058,0.4845
University of Kentucky,KY,22115,30635,0.6877
Kentucky Christian University,KY,448,37121,0.3072
Lindsey Wilson College,KY,1608,38653,0.3693
University of Louisville,KY,13822,29595,0.6216
Midway University,KY,1187,40723,0.4341
Morehead State University,KY,4864,21837,0.4723
Murray State University,KY,6588,21641,0.5846
Northern Kentucky University,KY,8677,18899,0.5005
University of Pikeville,KY,1109,34523,0.3537
Spalding University,KY,635,42917,0.4467
Thomas More University,KY,1420,45868,0.4442
Transylvania University,KY,976,57015,0.6901
Union College,KY,711,41450,0.3308
Western Kentucky University,KY,12149,23211,0.5136
Centenary College of Louisiana,LA,511,57199,0.6
Dillard University,LA,1220,33520,0.4803
Grambling State University,LA,4163,24264,0.3688
Louisiana State University-Alexandria,LA,3600,14892,0.3147
Louisiana State University and Agricultural & Mechanical College,LA,27729,33322,0.6985
Louisiana State University-Shreveport,LA,2137,18196,0.3254
Louisiana Christian University,LA,767,28160,0.3629
Louisiana Tech University,LA,7434,23390,0.5986
Loyola University New Orleans,LA,3160,59044,0.6705
McNeese State University,LA,4928,20355,0.4648
University of New Orleans,LA,4925,22232,0.3824
Nicholls State University,LA,4808,20961,0.4557
University of Louisiana at Monroe,LA,5032,22653,0.5075
Northwestern State University of Louisiana,LA,6243,23950,0.4636
University of Holy Cross,LA,453,26352,0.3649
Franciscan Missionaries of Our Lady University,LA,844,25871,0.4286
Saint Joseph Seminary College,LA,106,41450,0.5
Southeastern Louisiana University,LA,9567,21784,0.4377
Southern University and A & M College,LA,5171,24483,0.3035
Southern University at New Orleans,LA,1144,20982,0.1704
University of Louisiana at Lafayette,LA,11932,23800,0.5115
Tulane University of Louisiana,LA,8490,80932,0.8744
Xavier University of Louisiana,LA,2681,38603,0.5053
College of the Atlantic,ME,372,54969,0.5823
Bates College,ME,1790,77870,0.9256
Bowdoin College,ME,1909,76310,0.9404
Colby College,ME,2299,78665,0.8804
University of Maine at Augusta,ME,2870,18446,0.233
University of Maine at Farmington,ME,1217,23772,0.5333
University of Maine at Fort Kent,ME,650,18231,0.3659
University of Maine,ME,8720,25586,0.5527
Maine Maritime Academy,ME,874,29140,0.6612
University of Maine at Presque Isle,ME,1100,16717,0.2945
University of New England,ME,2272,59327,0.5939
Maine College of Art & Design,ME,380,55612,0.4833
Saint Joseph's College of Maine,ME,963,56612,0.6955
University of Southern Maine,ME,4322,21010,0.4172
Thomas College,ME,673,42804,0.5
Unity College,ME,3679,21676,0.5263
University of Baltimore,MD,1351,25573,0.3333
Bowie State University,MD,5289,23671,0.4019
Capitol Technology University,MD,296,39553,0.5532
Washington Adventist University,MD,499,33024,0.5
Coppin State University,MD,1708,18010,0.2376
Frostburg State University,MD,2873,25798,0.4934
Goucher College,MD,981,65729,0.5831
Hood College,MD,1182,56858,0.6119
Johns Hopkins University,MD,5643,78415,0.9405
Loyola University Maryland,MD,3968,69819,0.7868
University of Maryland Global Campus,MD,44458,20657,0.1923
University of Maryland-Baltimore County,MD,10557,27183,0.7034
University of Maryland-College Park,MD,29982,26781,0.8927
Maryland Institute College of Art,MD,1401,69047,0.7652
University of Maryland Eastern Shore,MD,1877,24564,0.3739
Morgan State University,MD,7599,24726,0.4559
Mount St. Mary's University,MD,1824,60493,0.6475
Ner Israel Rabbinical College,MD,246,24450,0.4286
Notre Dame of Maryland University,MD,634,56689,0.6022
Salisbury University,MD,6145,25314,0.6858
St. Mary's College of Maryland,MD,1476,30421,0.7066
St. John's College,MD,462,51458,0.7717
Towson University,MD,16734,25928,0.6976
Stevenson University,MD,2979,55942,0.6513
Washington College,MD,935,67427,0.7146
McDaniel College,MD,1748,63340,0.6624
Hult International Business School,MA,682,74000,0.6437
American International College,MA,1142,53236,0.3688
Amherst College,MA,1898,80060,0.9193
Anna Maria College,MA,991,55594,0.4037
Assumption University,MA,1676,60262,0.7205
Babson College,MA,2709,76360,0.9267
Boston Baptist College,MA,39,26691,0.25
Bay Path University,MA,1263,46775,0.4706
Bentley University,MA,4070,74902,0.8798
Berklee College of Music,MA,7395,66950,0.6859
Boston Architectural College,MA,259,37211,0.2273
Boston College,MA,9751,80560,0.9092
Boston University,MA,17668,79463,0.8896
Brandeis University,MA,3675,79342,0.8734
Bridgewater State University,MA,7911,24818,0.5606
Clark University,MA,2363,61716,0.7616
Curry College,MA,1804,60570,0.5207
Dean College,MA,1180,61170,0.4472
Eastern Nazarene College,MA,408,39617,0.494
Emerson College,MA,4147,75777,0.7716
Emmanuel College,MA,1855,61953,0.6594
Endicott College,MA,2999,55970,0.7809
Fisher College,MA,1131,51555,0.2632
Fitchburg State University,MA,2911,22864,0.5639
Framingham State University,MA,2712,26377,0.5461
Gordon College,MA,1255,39666,0.6874
Hampshire College,MA,505,69045,0.6031
Harvard University,MA,7973,81292,0.9777
Hellenic College-Holy Cross Greek Orthodox School of Theology,MA,31,40832,0.6
College of the Holy Cross,MA,3062,74286,0.9111
Lasell University,MA,1236,61057,0.6087
Lesley University,MA,1406,48919,0.6135
University of Massachusetts-Lowell,MA,11985,27701,0.7111
University of Massachusetts-Amherst,MA,24111,32355,0.8305
University of Massachusetts-Boston,MA,11749,28946,0.5101
MCPHS University,MA,3488,56414,0.6146
