INSTNM,STABBR,UGDS,COSTT4_A,C150_4,ACCREDAGENCY,SCHTYPE
Kutztown University of Pennsylvania,PA,6180,29866,0.5382,Middle States Commission on Higher Education,1
La Roche University,PA,751,47111,0.5721,Middle States Commission on Higher Education,2
La Salle University,PA,1953,48337,0.5712,Middle States Commission on Higher Education,2
Lafayette College,PA,2757,83133,0.8759,Middle States Commission on Higher Education,2
Lancaster Bible College,PA,1569,44066,0.6667,Middle States Commission on Higher Education,2
Lebanon Valley College,PA,1684,66497,0.6496,Middle States Commission on Higher Education,2
Lehigh University,PA,5898,80856,0.8791,Middle States Commission on Higher Education,2
Lincoln University,PA,1539,28505,0.4355,Middle States Commission on Higher Education,1
Lycoming College,PA,996,64105,0.5963,Middle States Commission on Higher Education,2
Marywood University,PA,1784,55582,0.7165,Middle States Commission on Higher Education,2
Mercyhurst University,PA,2191,59557,0.6017,Middle States Commission on Higher Education,2
Messiah University,PA,2259,55875,0.7496,Middle States Commission on Higher Education,2
Millersville University of Pennsylvania,PA,5728,26913,0.5763,Middle States Commission on Higher Education,1
Misericordia University,PA,1672,53648,0.7171,Middle States Commission on Higher Education,2
Moore College of Art and Design,PA,535,71327,0.5714,Middle States Commission on Higher Education,2
Moravian University,PA,1949,65601,0.7169,Middle States Commission on Higher Education,2
Mount Aloysius College,PA,1094,40435,0.5691,Middle States Commission on Higher Education,2
Muhlenberg College,PA,1727,77270,0.8223,Middle States Commission on Higher Education,2
Neumann University,PA,1533,57180,0.5368,Middle States Commission on Higher Education,2
Pennsylvania State University-Main Campus,PA,42284,39694,0.8609,Middle States Commission on Higher Education,1
Peirce College,PA,799,18660,0.1,Middle States Commission on Higher Education,2
Pennsylvania Academy of the Fine Arts,PA,23,66106,0.5758,Middle States Commission on Higher Education,2
University of Pennsylvania,PA,10650,89028,0.9654,Middle States Commission on Higher Education,2
Cairn University-Langhorne,PA,775,46233,0.5968,Middle States Commission on Higher Education,2
University of Pittsburgh-Pittsburgh Campus,PA,20370,38105,0.855,Middle States Commission on Higher Education,1
Point Park University,PA,2331,52643,0.5854,Middle States Commission on Higher Education,2
Robert Morris University,PA,2896,51621,0.6569,Middle States Commission on Higher Education,2
Rosemont College,PA,486,38498,0.5714,Middle States Commission on Higher Education,2
Saint Francis University,PA,1557,59815,0.7439,Middle States Commission on Higher Education,2
Saint Joseph's University - Philadelphia,PA,4948,67954,0.7884,Middle States Commission on Higher Education,2
Saint Vincent College,PA,1259,56752,0.6859,Middle States Commission on Higher Education,2
University of Scranton,PA,3554,69552,0.7979,Middle States Commission on Higher Education,2
Seton Hill University,PA,1492,56183,0.6736,Middle States Commission on Higher Education,2
Shippensburg University of Pennsylvania,PA,4086,30785,0.557,Middle States Commission on Higher Education,1
Slippery Rock University of Pennsylvania,PA,6788,25537,0.6557,Middle States Commission on Higher Education,1
Saint Charles Borromeo Seminary-Overbrook,PA,38,NA,0.4167,Middle States Commission on Higher Education,2
Susquehanna University,PA,2163,75410,0.8174,Middle States Commission on Higher Education,2
Swarthmore College,PA,1613,84103,0.9227,Middle States Commission on Higher Education,2
Temple University,PA,20970,40903,0.7505,Middle States Commission on Higher Education,1
Thiel College,PA,788,53202,0.4873,Middle States Commission on Higher Education,2
Thomas Jefferson University,PA,3755,64197,0.6857,Middle States Commission on Higher Education,2
Ursinus College,PA,1491,76815,0.7328,Middle States Commission on Higher Education,2
University of Valley Forge,PA,471,45422,0.4904,Middle States Commission on Higher Education,2
Villanova University,PA,6938,84793,0.9186,Middle States Commission on Higher Education,2
Washington & Jefferson College,PA,1295,42972,0.6952,Middle States Commission on Higher Education,2
Waynesburg University,PA,1009,44397,0.6554,Middle States Commission on Higher Education,2
West Chester University of Pennsylvania,PA,14164,28394,0.7051,Middle States Commission on Higher Education,1
Westminster College,PA,1041,53003,0.6455,Middle States Commission on Higher Education,2
Widener University,PA,2951,70621,0.6832,Middle States Commission on Higher Education,2
Wilkes University,PA,1985,56765,0.6317,Middle States Commission on Higher Education,2
Wilson College,PA,865,39344,0.4815,Middle States Commission on Higher Education,2
York College of Pennsylvania,PA,3265,37319,0.641,Middle States Commission on Higher Education,2
Brown University,RI,7226,87648,0.9569,New England Commission on Higher Education,2
Bryant University,RI,3194,69964,0.7975,New England Commission on Higher Education,2
Johnson & Wales University-Providence,RI,3868,60314,0.5541,New England Commission on Higher Education,2
Providence College,RI,4229,80466,0.8582,New England Commission on Higher Education,2
Rhode Island College,RI,5049,17454,0.4813,New England Commission on Higher Education,1
University of Rhode Island,RI,13381,34321,0.7331,New England Commission on Higher Education,1
Rhode Island School of Design,RI,2084,81727,0.8877,New England Commission on Higher Education,2
Roger Williams University,RI,3946,61950,0.6865,New England Commission on Higher Education,2
Salve Regina University,RI,2121,70630,0.7688,New England Commission on Higher Education,2
Allen University,SC,576,23998,0.1331,Southern Association of Colleges and Schools Commission on Colleges,2
Anderson University,SC,3183,50192,0.6568,Southern Association of Colleges and Schools Commission on Colleges,2
Charleston Southern University,SC,2893,44558,0.4724,Southern Association of Colleges and Schools Commission on Colleges,2
Benedict College,SC,1536,32000,0.2426,Southern Association of Colleges and Schools Commission on Colleges,2
Southern Wesleyan University,SC,747,39914,0.5236,Southern Association of Colleges and Schools Commission on Colleges,2
College of Charleston,SC,10558,32362,0.6583,Southern Association of Colleges and Schools Commission on Colleges,1
Citadel Military College of South Carolina,SC,2705,33880,0.75,Southern Association of Colleges and Schools Commission on Colleges,1
Claflin University,SC,1706,33530,0.516,Southern Association of Colleges and Schools Commission on Colleges,2
Clemson University,SC,23300,35015,0.8656,Southern Association of Colleges and Schools Commission on Colleges,1
Coker University,SC,840,45805,0.3953,Southern Association of Colleges and Schools Commission on Colleges,2
Columbia International University,SC,716,43045,0.4679,Southern Association of Colleges and Schools Commission on Colleges,2
Columbia College,SC,1343,35258,0.3688,Southern Association of Colleges and Schools Commission on Colleges,2
Converse University,SC,1173,38838,0.6154,Southern Association of Colleges and Schools Commission on Colleges,2
Erskine College,SC,766,55248,0.4518,Southern Association of Colleges and Schools Commission on Colleges,2
Francis Marion University,SC,2628,23850,0.4339,Southern Association of Colleges and Schools Commission on Colleges,1
Furman University,SC,2379,76798,0.7876,Southern Association of Colleges and Schools Commission on Colleges,2
Lander University,SC,3397,27277,0.4977,Southern Association of Colleges and Schools Commission on Colleges,1
Morris College,SC,383,30148,0.1735,Southern Association of Colleges and Schools Commission on Colleges,2
Newberry College,SC,1479,46442,0.4514,Southern Association of Colleges and Schools Commission on Colleges,2
North Greenville University,SC,1819,42034,0.5453,Southern Association of Colleges and Schools Commission on Colleges,2
Presbyterian College,SC,852,60242,0.5146,Southern Association of Colleges and Schools Commission on Colleges,2
University of South Carolina Aiken,SC,2962,21540,0.3985,Southern Association of Colleges and Schools Commission on Colleges,1
University of South Carolina Beaufort,SC,2052,24353,0.3399,Southern Association of Colleges and Schools Commission on Colleges,1
University of South Carolina-Columbia,SC,29820,31638,0.7882,Southern Association of Colleges and Schools Commission on Colleges,1
Coastal Carolina University,SC,10377,26692,0.4846,Southern Association of Colleges and Schools Commission on Colleges,1
South Carolina State University,SC,2934,30015,0.3663,Southern Association of Colleges and Schools Commission on Colleges,1
University of South Carolina-Upstate,SC,4038,25124,0.4304,Southern Association of Colleges and Schools Commission on Colleges,1
Voorhees University,SC,440,25574,0.4295,Southern Association of Colleges and Schools Commission on Colleges,2
Winthrop University,SC,3523,30710,0.5698,Southern Association of Colleges and Schools Commission on Colleges,1
Wofford College,SC,1816,72441,0.842,Southern Association of Colleges and Schools Commission on Colleges,2
Augustana University,SD,1965,55159,0.7297,Higher Learning Commission,2
Black Hills State University,SD,1928,21277,0.4263,Higher Learning Commission,1
Dakota State University,SD,2071,25753,0.513,Higher Learning Commission,1
Dakota Wesleyan University,SD,670,43864,0.4832,Higher Learning Commission,2
Mount Marty University,SD,697,48247,0.5238,Higher Learning Commission,2
Northern State University,SD,1273,22077,0.4894,Higher Learning Commission,1
South Dakota School of Mines and Technology,SD,2071,25385,0.5295,Higher Learning Commission,1
South Dakota State University,SD,9198,24636,0.6235,Higher Learning Commission,1
University of Sioux Falls,SD,1218,34274,0.6291,Higher Learning Commission,2
University of South Dakota,SD,5439,24422,0.5991,Higher Learning Commission,1
Austin Peay State University,TN,7560,22233,0.4024,Southern Association of Colleges and Schools Commission on Colleges,1
Baptist Health Sciences University,TN,770,22227,0.398,Southern Association of Colleges and Schools Commission on Colleges,2
Belmont University,TN,7137,62570,0.7066,Southern Association of Colleges and Schools Commission on Colleges,2
Bethel University,TN,1547,31203,0.3505,Southern Association of Colleges and Schools Commission on Colleges,2
Bryan College-Dayton,TN,814,31270,0.4974,Southern Association of Colleges and Schools Commission on Colleges,2
Carson-Newman University,TN,1387,49024,0.5324,Southern Association of Colleges and Schools Commission on Colleges,2
Christian Brothers University,TN,905,48038,0.5471,Southern Association of Colleges and Schools Commission on Colleges,2
Cumberland University,TN,2104,43358,0.4559,Southern Association of Colleges and Schools Commission on Colleges,2
Lipscomb University,TN,2997,55117,0.7216,Southern Association of Colleges and Schools Commission on Colleges,2
East Tennessee State University,TN,10004,27042,0.5321,Southern Association of Colleges and Schools Commission on Colleges,1
Fisk University,TN,1035,39450,0.2993,Southern Association of Colleges and Schools Commission on Colleges,2
Welch College,TN,226,37072,0.5342,Southern Association of Colleges and Schools Commission on Colleges,2
Freed-Hardeman University,TN,1212,38315,0.7078,Southern Association of Colleges and Schools Commission on Colleges,2
Johnson University,TN,743,34244,0.5677,Southern Association of Colleges and Schools Commission on Colleges,2
King University,TN,908,49004,0.4787,Southern Association of Colleges and Schools Commission on Colleges,2
Lane College,TN,736,23441,0.1839,Southern Association of Colleges and Schools Commission on Colleges,2
Le Moyne-Owen College,TN,581,19001,0.2703,Southern Association of Colleges and Schools Commission on Colleges,2
Lee University,TN,2617,35688,0.6259,Southern Association of Colleges and Schools Commission on Colleges,2
Lincoln Memorial University,TN,1572,41530,0.4966,Southern Association of Colleges and Schools Commission on Colleges,2
The University of Tennessee Southern,TN,864,24750,0.369,Southern Association of Colleges and Schools Commission on Colleges,1
Maryville College,TN,1005,54622,0.5,Southern Association of Colleges and Schools Commission on Colleges,2
University of Memphis,TN,12701,25169,0.5089,Southern Association of Colleges and Schools Commission on Colleges,1
Middle Tennessee State University,TN,16301,24289,0.537,Southern Association of Colleges and Schools Commission on Colleges,1
Rhodes College,TN,1836,71136,0.8453,Southern Association of Colleges and Schools Commission on Colleges,2
The University of the South,TN,1607,71986,0.7979,Southern Association of Colleges and Schools Commission on Colleges,2
Southern Adventist University,TN,2773,38618,0.4939,Southern Association of Colleges and Schools Commission on Colleges,2
Tennessee Wesleyan University,TN,846,39440,0.4759,Southern Association of Colleges and Schools Commission on Colleges,2
The University of Tennessee-Chattanooga,TN,10074,25489,0.5024,Southern Association of Colleges and Schools Commission on Colleges,1
The University of Tennessee-Knoxville,TN,30418,33678,0.7392,Southern Association of Colleges and Schools Commission on Colleges,1
The University of Tennessee-Martin,TN,4866,23079,0.5254,Southern Association of Colleges and Schools Commission on Colleges,1
Tennessee State University,TN,4848,25637,0.3399,Southern Association of Colleges and Schools Commission on Colleges,1
Tennessee Technological University,TN,8698,25663,0.5767,Southern Association of Colleges and Schools Commission on Colleges,1
Trevecca Nazarene University,TN,1737,41548,0.5315,Southern Association of Colleges and Schools Commission on Colleges,2
Tusculum University,TN,785,43776,0.2545,Southern Association of Colleges and Schools Commission on Colleges,2
Union University,TN,1607,58363,0.6596,Southern Association of Colleges and Schools Commission on Colleges,2
Vanderbilt University,TN,7208,89590,0.9354,Southern Association of Colleges and Schools Commission on Colleges,2
Abilene Christian University,TX,3195,59256,0.5901,Southern Association of Colleges and Schools Commission on Colleges,2
Angelo State University,TX,5643,23441,0.4397,Southern Association of Colleges and Schools Commission on Colleges,1
Austin College,TX,1165,61607,0.6705,Southern Association of Colleges and Schools Commission on Colleges,2
Baylor University,TX,14785,74226,0.79990000000000006,Southern Association of Colleges and Schools Commission on Colleges,2
Concordia University Texas,TX,1185,53020,0.446,Southern Association of Colleges and Schools Commission on Colleges,2
Texas A & M University-Corpus Christi,TX,8034,25210,0.4015,Southern Association of Colleges and Schools Commission on Colleges,1
Dallas Baptist University,TX,2403,52716,0.5701,Southern Association of Colleges and Schools Commission on Colleges,2
University of Dallas,TX,1403,68583,0.7307,Southern Association of Colleges and Schools Commission on Colleges,2
East Texas Baptist University,TX,1352,44211,0.4712,Southern Association of Colleges and Schools Commission on Colleges,2
Texas A&M University-Texarkana,TX,1982,23778,0.2957,Southern Association of Colleges and Schools Commission on Colleges,1
East Texas A&M University,TX,9912,23438,0.4281,Southern Association of Colleges and Schools Commission on Colleges,1
Hardin-Simmons University,TX,1283,45904,0.4604,Southern Association of Colleges and Schools Commission on Colleges,2
Houston Christian University,TX,2886,50082,0.4912,Southern Association of Colleges and Schools Commission on Colleges,2
University of Houston-Clear Lake,TX,6078,24622,0.5163,Southern Association of Colleges and Schools Commission on Colleges,1
University of Houston-Downtown,TX,12555,20749,0.332,Southern Association of Colleges and Schools Commission on Colleges,1
Texas A&M University-Victoria,TX,2513,21401,0.2638,Southern Association of Colleges and Schools Commission on Colleges,1
University of Houston,TX,38380,26185,0.6456,Southern Association of Colleges and Schools Commission on Colleges,1
Howard Payne University,TX,713,46766,0.2798,Southern Association of Colleges and Schools Commission on Colleges,2
Huston-Tillotson University,TX,1005,25384,0.3394,Southern Association of Colleges and Schools Commission on Colleges,2
University of the Incarnate Word,TX,4440,48681,0.5098,Southern Association of Colleges and Schools Commission on Colleges,2
Jarvis Christian University,TX,577,25185,0.1519,Southern Association of Colleges and Schools Commission on Colleges,2
Lamar University,TX,8150,22254,0.3732,Southern Association of Colleges and Schools Commission on Colleges,1
Texas A & M International University,TX,6667,15558,0.4647,Southern Association of Colleges and Schools Commission on Colleges,1
LeTourneau University,TX,1468,51124,0.5858,Southern Association of Colleges and Schools Commission on Colleges,2
Lubbock Christian University,TX,1252,41944,0.5136,Southern Association of Colleges and Schools Commission on Colleges,2
University of Mary Hardin-Baylor,TX,2759,46874,0.4931,Southern Association of Colleges and Schools Commission on Colleges,2
McMurry University,TX,1176,43778,0.4429,Southern Association of Colleges and Schools Commission on Colleges,2
Midwestern State University,TX,4087,22652,0.4274,Southern Association of Colleges and Schools Commission on Colleges,1
University of North Texas,TX,34341,26243,0.6071,Southern Association of Colleges and Schools Commission on Colleges,1
Our Lady of the Lake University,TX,1066,42865,0.4611,Southern Association of Colleges and Schools Commission on Colleges,2
The University of Texas Rio Grande Valley,TX,28666,16830,0.509,Southern Association of Colleges and Schools Commission on Colleges,1
Prairie View A & M University,TX,8877,26362,0.432,Southern Association of Colleges and Schools Commission on Colleges,1
Rice University,TX,4776,79788,0.9464,Southern Association of Colleges and Schools Commission on Colleges,2
Saint Edward's University,TX,2493,66719,0.6259,Southern Association of Colleges and Schools Commission on Colleges,2
University of St Thomas,TX,3220,45672,0.6877,Southern Association of Colleges and Schools Commission on Colleges,2
Sam Houston State University,TX,17743,25505,0.5476,Southern Association of Colleges and Schools Commission on Colleges,1
Schreiner University,TX,1053,48004,0.4318,Southern Association of Colleges and Schools Commission on Colleges,2
St. Mary's University,TX,1951,47999,0.5893,Southern Association of Colleges and Schools Commission on Colleges,2
Southern Methodist University,TX,7277,85606,0.8427,Southern Association of Colleges and Schools Commission on Colleges,2
Nelson University,TX,1479,34504,0.4156,Southern Association of Colleges and Schools Commission on Colleges,2
Southwestern University,TX,1440,67493,0.7279,Southern Association of Colleges and Schools Commission on Colleges,2
Stephen F Austin State University,TX,8728,25791,0.5333,Southern Association of Colleges and Schools Commission on Colleges,1
Texas State University,TX,36177,28073,0.5528,Southern Association of Colleges and Schools Commission on Colleges,1
Southwestern Adventist University,TX,570,35592,0.5234,Southern Association of Colleges and Schools Commission on Colleges,2
Sul Ross State University,TX,1396,24529,0.2994,Southern Association of Colleges and Schools Commission on Colleges,1
Tarleton State University,TX,12673,24100,0.4821,Southern Association of Colleges and Schools Commission on Colleges,1
Texas A&M University-Kingsville,TX,4748,24060,0.4187,Southern Association of Colleges and Schools Commission on Colleges,1
Texas A&M University-College Station,TX,59615,32696,0.8391,Southern Association of Colleges and Schools Commission on Colleges,1
The University of Texas at Arlington,TX,32294,25261,0.5402,Southern Association of Colleges and Schools Commission on Colleges,1
The University of Texas at Austin,TX,42855,31247,0.889,Southern Association of Colleges and Schools Commission on Colleges,1
The University of Texas at Dallas,TX,21751,29807,0.7569,Southern Association of Colleges and Schools Commission on Colleges,1
The University of Texas at El Paso,TX,21005,19836,0.5017,Southern Association of Colleges and Schools Commission on Colleges,1
The University of Texas at Tyler,TX,7440,24505,0.5413,Southern Association of Colleges and Schools Commission on Colleges,1
Texas Christian University,TX,11026,76604,0.8551,Southern Association of Colleges and Schools Commission on Colleges,2
Texas College,TX,614,20339,0.1375,Southern Association of Colleges and Schools Commission on Colleges,2
Texas Lutheran University,TX,1304,50002,0.5385,Southern Association of Colleges and Schools Commission on Colleges,2
The University of Texas Permian Basin,TX,3911,23886,0.3967,Southern Association of Colleges and Schools Commission on Colleges,1
The University of Texas at San Antonio,TX,30580,22352,0.5264,Southern Association of Colleges and Schools Commission on Colleges,1
Texas Southern University,TX,6844,27052,0.2216,Southern Association of Colleges and Schools Commission on Colleges,1
Texas Tech University,TX,32394,27443,0.6869,Southern Association of Colleges and Schools Commission on Colleges,1
Texas Wesleyan University,TX,1741,57451,0.3154,Southern Association of Colleges and Schools Commission on Colleges,2
Texas Woman's University,TX,8767,22234,0.4906,Southern Association of Colleges and Schools Commission on Colleges,1
Trinity University,TX,2505,68224,0.8397,Southern Association of Colleges and Schools Commission on Colleges,2
Wayland Baptist University,TX,2041,36323,0.1929,Southern Association of Colleges and Schools Commission on Colleges,2
West Texas A & M University,TX,6917,23482,0.5504,Southern Association of Colleges and Schools Commission on Colleges,1
Wiley University,TX,712,19097,0.2424,Southern Association of Colleges and Schools Commission on Colleges,2
Bennington College,VT,780,87284,0.7121,New England Commission on Higher Education,2
Champlain College,VT,2752,65009,0.6523,New England Commission on Higher Education,2
Middlebury College,VT,2738,85880,0.914,New England Commission on Higher Education,2
Norwich University,VT,2428,67357,0.6021,New England Commission on Higher Education,2
Saint Michael's College,VT,1092,69079,0.7277,New England Commission on Higher Education,2
Sterling College,VT,50,54410,0.3158,New England Commission on Higher Education,2
Vermont State University,VT,3590,25988,0.4722,New England Commission on Higher Education,1
University of Vermont,VT,11743,35649,0.7859,New England Commission on Higher Education,1
Averett University,VA,1231,53460,0.4814,Southern Association of Colleges and Schools Commission on Colleges,2
Bluefield University,VA,614,42539,0.1778,Southern Association of Colleges and Schools Commission on Colleges,2
Bridgewater College,VA,1400,58702,0.5305,Southern Association of Colleges and Schools Commission on Colleges,2
William & Mary,VA,7055,43035,0.8942,Southern Association of Colleges and Schools Commission on Colleges,1
Regent University,VA,4729,32838,0.5692,Southern Association of Colleges and Schools Commission on Colleges,2
Christopher Newport University,VA,4365,33766,0.7164,Southern Association of Colleges and Schools Commission on Colleges,1
Emory & Henry University,VA,1078,52854,0.5634,Southern Association of Colleges and Schools Commission on Colleges,2
Eastern Mennonite University,VA,754,56756,0.67,Southern Association of Colleges and Schools Commission on Colleges,2
Ferrum College,VA,699,54526,0.319,Southern Association of Colleges and Schools Commission on Colleges,2
George Mason University,VA,27752,28604,0.6784,Southern Association of Colleges and Schools Commission on Colleges,1
Hampden-Sydney College,VA,946,70325,0.6217,Southern Association of Colleges and Schools Commission on Colleges,2
Hampton University,VA,3727,46027,0.5716,Southern Association of Colleges and Schools Commission on Colleges,2
Hollins University,VA,665,58698,0.6465,Southern Association of Colleges and Schools Commission on Colleges,2
James Madison University,VA,20888,31735,0.7972,Southern Association of Colleges and Schools Commission on Colleges,1
Liberty University,VA,50012,42025,0.6533,Southern Association of Colleges and Schools Commission on Colleges,2
Longwood University,VA,3015,34588,0.6123,Southern Association of Colleges and Schools Commission on Colleges,1
University of Lynchburg,VA,1577,50067,0.5736,Southern Association of Colleges and Schools Commission on Colleges,2
Mary Baldwin University,VA,1090,45935,0.393,Southern Association of Colleges and Schools Commission on Colleges,2
University of Mary Washington,VA,3566,31137,0.6641,Southern Association of Colleges and Schools Commission on Colleges,1
Marymount University,VA,1810,57184,0.5351,Southern Association of Colleges and Schools Commission on Colleges,2
Norfolk State University,VA,5392,26633,0.385,Southern Association of Colleges and Schools Commission on Colleges,1
Old Dominion University,VA,17514,29446,0.4632,Southern Association of Colleges and Schools Commission on Colleges,1
Radford University,VA,6038,28405,0.4866,Southern Association of Colleges and Schools Commission on Colleges,1
Randolph-Macon College,VA,1639,63985,0.7048,Southern Association of Colleges and Schools Commission on Colleges,2
Randolph College,VA,658,45040,0.4639,Southern Association of Colleges and Schools Commission on Colleges,2
University of Richmond,VA,2980,80961,0.852,Southern Association of Colleges and Schools Commission on Colleges,2
Roanoke College,VA,1767,54283,0.6736,Southern Association of Colleges and Schools Commission on Colleges,2
Shenandoah University,VA,2116,51928,0.6682,Southern Association of Colleges and Schools Commission on Colleges,2
Southern Virginia University,VA,936,34431,0.3347,Southern Association of Colleges and Schools Commission on Colleges,2
Sweet Briar College,VA,443,43898,0.5182,Southern Association of Colleges and Schools Commission on Colleges,2
University of Virginia's College at Wise,VA,1101,26593,0.4706,Southern Association of Colleges and Schools Commission on Colleges,1
Virginia Polytechnic Institute and State University,VA,30923,36951,0.8622,Southern Association of Colleges and Schools Commission on Colleges,1
Virginia Commonwealth University,VA,20753,38954,0.6318,Southern Association of Colleges and Schools Commission on Colleges,1
University of Virginia-Main Campus,VA,17597,39926,0.956,Southern Association of Colleges and Schools Commission on Colleges,1
Virginia Military Institute,VA,1527,34824,0.7621,Southern Association of Colleges and Schools Commission on Colleges,1
Virginia State University,VA,5074,27661,0.3944,Southern Association of Colleges and Schools Commission on Colleges,1
Virginia Union University,VA,1203,29075,0.3415,Southern Association of Colleges and Schools Commission on Colleges,2
Virginia Wesleyan University,VA,1256,51255,0.4164,Southern Association of Colleges and Schools Commission on Colleges,2
Washington and Lee University,VA,1881,87000,0.9388,Southern Association of Colleges and Schools Commission on Colleges,2
Bethany College,WV,614,50758,0.4682,Higher Learning Commission,2
Bluefield State University,WV,1042,21839,0.37,Higher Learning Commission,1
University of Charleston,WV,2259,46470,0.4555,Higher Learning Commission,2
Concord University,WV,1504,20434,0.3897,Higher Learning Commission,1
Davis & Elkins College,WV,661,44888,0.3929,Higher Learning Commission,2
Fairmont State University,WV,2590,20018,0.4425,Higher Learning Commission,1
Glenville State University,WV,1096,23591,0.3392,Higher Learning Commission,1
Marshall University,WV,7266,22022,0.5123,Higher Learning Commission,1
Salem University,WV,892,18650,0.1992,Higher Learning Commission,3
Shepherd University,WV,2344,19601,0.5103,Higher Learning Commission,1
West Virginia State University,WV,1321,19772,0.3918,Higher Learning Commission,1
West Liberty University,WV,1511,23809,0.5953,Higher Learning Commission,1
West Virginia Wesleyan College,WV,954,48190,0.5714,Higher Learning Commission,2
West Virginia University,WV,17385,26415,0.6466,Higher Learning Commission,1
Wheeling University,WV,589,42504,0.2333,Higher Learning Commission,2
Alverno College,WI,631,51362,0.4918,Higher Learning Commission,2
Bellin College,WI,372,42941,0.6304,Higher Learning Commission,2
Beloit College,WI,926,71365,0.7105,Higher Learning Commission,2
Carroll University,WI,2523,52639,0.707,Higher Learning Commission,2
Carthage College,WI,2660,50822,0.6426,Higher Learning Commission,2
Concordia University-Wisconsin,WI,2197,53315,0.6835,Higher Learning Commission,2
Edgewood University,WI,1107,50903,0.6024,Higher Learning Commission,2
Lakeland University,WI,1212,48840,0.4245,Higher Learning Commission,2
Lawrence University,WI,1396,69849,0.7677,Higher Learning Commission,2
Maranatha Baptist University,WI,541,37092,0.6357,Higher Learning Commission,2
Marian University,WI,1010,44450,0.4416,Higher Learning Commission,2
Marquette University,WI,7660,66768,0.8321,Higher Learning Commission,2
Milwaukee Institute of Art & Design,WI,837,53528,0.6695,Higher Learning Commission,2
Milwaukee School of Engineering,WI,2654,62648,0.6711,Higher Learning Commission,2
Mount Mary University,WI,631,49270,0.4296,Higher Learning Commission,2
Ripon College,WI,688,63540,0.633,Higher Learning Commission,2
Saint Norbert College,WI,1662,59422,0.7129,Higher Learning Commission,2
Viterbo University,WI,1249,45558,0.6838,Higher Learning Commission,2
University of Wisconsin-Whitewater,WI,9405,18719,0.589,Higher Learning Commission,1
University of Wisconsin-Eau Claire,WI,8895,21705,0.6381,Higher Learning Commission,1
University of Wisconsin-Green Bay,WI,6341,19366,0.4822,Higher Learning Commission,1
University of Wisconsin-La Crosse,WI,9277,19593,0.7096,Higher Learning Commission,1
Wisconsin Lutheran College,WI,943,48785,0.6357,Higher Learning Commission,2
University of Wisconsin-Oshkosh,WI,6877,19652,0.4614,Higher Learning Commission,1
University of Wisconsin-Parkside,WI,2844,18199,0.404,Higher Learning Commission,1
University of Wisconsin-Stout,WI,5842,22797,0.5486,Higher Learning Commission,1
University of Wisconsin-Superior,WI,1807,19860,0.4188,Higher Learning Commission,1
University of Wisconsin-Madison,WI,36902,28679,0.8955,Higher Learning Commission,1
University of Wisconsin-Milwaukee,WI,16758,22756,0.4932,Higher Learning Commission,1
University of Wisconsin-Platteville,WI,5837,21266,0.5576,Higher Learning Commission,1
University of Wisconsin-River Falls,WI,4205,19781,0.57,Higher Learning Commission,1
University of Wisconsin-Stevens Point,WI,7306,20079,0.5078,Higher Learning Commission,1
University of Wyoming,WY,7944,24818,0.5884,Higher Learning Commission,1
University of Guam,GU,2515,14961,0.369,Western Association of Schools and Colleges Senior Colleges and University Commission,1
Universidad Adventista de las Antillas,PR,830,16834,0.3636,Middle States Commission on Higher Education,2
Universidad Central de Bayamon,PR,539,12976,0.3438,Middle States Commission on Higher Education,2
Albizu University-San Juan,PR,728,18382,0.6703,Middle States Commission on Higher Education,2
Pontifical Catholic University of Puerto Rico-Ponce,PR,3874,20508,0.4859,Middle States Commission on Higher Education,2
Universidad Ana G. Mendez-Cupey Campus,PR,4540,14214,0.3085,Middle States Commission on Higher Education,2
Puerto Rico Conservatory of Music,PR,307,12920,0.6667,Middle States Commission on Higher Education,1
Escuela de Artes Plasticas y Diseno de Puerto Rico,PR,466,9057,0.4478,Middle States Commission on Higher Education,1
Inter American University of Puerto Rico-San German,PR,2569,16380,0.4316,Middle States Commission on Higher Education,2
Inter American University of Puerto Rico-Aguadilla,PR,2906,16057,0.4288,Middle States Commission on Higher Education,2
Inter American University of Puerto Rico-Arecibo,PR,2220,16625,0.3892,Middle States Commission on Higher Education,2
Inter American University of Puerto Rico-Barranquitas,PR,937,16051,0.3802,Middle States Commission on Higher Education,2
Inter American University of Puerto Rico-Metro,PR,2607,16837,0.3881,Middle States Commission on Higher Education,2
Inter American University of Puerto Rico-Ponce,PR,2404,16065,0.4144,Middle States Commission on Higher Education,2
Inter American University of Puerto Rico-Fajardo,PR,1072,16190,0.3767,Middle States Commission on Higher Education,2
Inter American University of Puerto Rico-Bayamon,PR,3476,16324,0.3492,Middle States Commission on Higher Education,2
University of Puerto Rico-Aguadilla,PR,1883,14498,0.4633,Middle States Commission on Higher Education,1
University of Puerto Rico-Arecibo,PR,2669,17710,0.52,Middle States Commission on Higher Education,1
University of Puerto Rico,PR,2851,12501,0.3706,Middle States Commission on Higher Education,1
University of Puerto Rico-Carolina,PR,2404,19396,0.3727,Middle States Commission on Higher Education,1
University of Puerto Rico at Cayey,PR,2069,15909,0.4983,Middle States Commission on Higher Education,1
University of Puerto Rico-Humacao,PR,2529,19547,0.4712,Middle States Commission on Higher Education,1
University of Puerto Rico-Mayaguez,PR,9539,21637,0.491,Middle States Commission on Higher Education,1
University of Puerto Rico at Ponce,PR,2278,17193,0.4618,Middle States Commission on Higher Education,1
