INSTNM,STABBR,UGDS,COSTT4_A,C150_4,ACCREDAGENCY,SCHTYPE
Georgia Southwestern State University,GA,2424,20484,0.4064,Southern Association of Colleges and Schools Commission on Colleges,1
Georgia College & State University,GA,5947,30258,0.6361,Southern Association of Colleges and Schools Commission on Colleges,1
Georgia Southern University,GA,21790,24430,0.549,Southern Association of Colleges and Schools Commission on Colleges,1
Georgia State University,GA,26623,28241,0.5306,Southern Association of Colleges and Schools Commission on Colleges,1
University of Georgia,GA,32137,27993,0.8969,Southern Association of Colleges and Schools Commission on Colleges,1
Gordon State College,GA,2544,14771,0.2043,Southern Association of Colleges and Schools Commission on Colleges,1
LaGrange College,GA,636,49681,0.4692,Southern Association of Colleges and Schools Commission on Colleges,2
Life University,GA,893,41295,0.3793,Southern Association of Colleges and Schools Commission on Colleges,2
Mercer University,GA,4500,58204,0.6962,Southern Association of Colleges and Schools Commission on Colleges,2
Morehouse College,GA,2844,51433,0.5944,Southern Association of Colleges and Schools Commission on Colleges,2
Oglethorpe University,GA,1352,60581,0.541,Southern Association of Colleges and Schools Commission on Colleges,2
Piedmont University,GA,1117,46801,0.4741,Southern Association of Colleges and Schools Commission on Colleges,2
Reinhardt University,GA,1066,46386,0.4357,Southern Association of Colleges and Schools Commission on Colleges,2
Savannah College of Art and Design,GA,15243,63627,0.6941,Southern Association of Colleges and Schools Commission on Colleges,2
Savannah State University,GA,2833,17191,0.2804,Southern Association of Colleges and Schools Commission on Colleges,1
Shorter University,GA,1028,35726,0.3769,Southern Association of Colleges and Schools Commission on Colleges,2
Spelman College,GA,3414,50952,0.7846,Southern Association of Colleges and Schools Commission on Colleges,2
Thomas University,GA,998,23079,0.2754,Southern Association of Colleges and Schools Commission on Colleges,2
Toccoa Falls College,GA,875,37561,0.4366,Southern Association of Colleges and Schools Commission on Colleges,2
Truett McConnell University,GA,744,39152,0.3781,Southern Association of Colleges and Schools Commission on Colleges,2
Valdosta State University,GA,6622,20801,0.4236,Southern Association of Colleges and Schools Commission on Colleges,1
Wesleyan College,GA,400,40721,0.4452,Southern Association of Colleges and Schools Commission on Colleges,2
University of West Georgia,GA,7520,21981,0.4349,Southern Association of Colleges and Schools Commission on Colleges,1
Young Harris College,GA,755,48301,0.4175,Southern Association of Colleges and Schools Commission on Colleges,2
Chaminade University of Honolulu,HI,1672,45798,0.554,Western Association of Schools and Colleges Senior Colleges and University Commission,2
University of Hawaii at Hilo,HI,2160,21173,0.4837,Western Association of Schools and Colleges Senior Colleges and University Commission,1
University of Hawaii at Manoa,HI,15029,26433,0.6429,Western Association of Schools and Colleges Senior Colleges and University Commission,1
Hawaii Pacific University,HI,2392,50674,0.3489,Western Association of Schools and Colleges Senior Colleges and University Commission,2
University of Hawaii-West Oahu,HI,2519,18410,0.4955,Western Association of Schools and Colleges Senior Colleges and University Commission,1
School of the Art Institute of Chicago,IL,2805,75625,0.6699,Higher Learning Commission,2
Augustana College,IL,2490,63553,0.7286,Higher Learning Commission,2
Aurora University,IL,3974,40625,0.6032,Higher Learning Commission,2
Blackburn College,IL,471,37916,0.5749,Higher Learning Commission,2
Bradley University,IL,3574,54730,0.7617,Higher Learning Commission,2
Chicago State University,IL,1384,29764,0.1549,Higher Learning Commission,1
University of Chicago,IL,7569,90360,0.9585,Higher Learning Commission,2
Columbia College Chicago,IL,5368,51889,0.5155,Higher Learning Commission,2
Concordia University-Chicago,IL,1323,45383,0.3646,Higher Learning Commission,2
DePaul University,IL,14090,63052,0.678,Higher Learning Commission,2
East-West University,IL,468,32606,0.1556,Higher Learning Commission,2
Eastern Illinois University,IL,4188,26996,0.4736,Higher Learning Commission,1
Elmhurst University,IL,3006,54679,0.7,Higher Learning Commission,2
Eureka College,IL,522,39578,0.4161,Higher Learning Commission,2
Governors State University,IL,2556,24227,0.2211,Higher Learning Commission,1
Greenville University,IL,955,45091,0.3982,Higher Learning Commission,2
Hebrew Theological College,IL,90,35559,0.5,Higher Learning Commission,2
University of Illinois Chicago,IL,22170,27521,0.6162,Higher Learning Commission,1
Benedictine University,IL,1942,46713,0.5033,Higher Learning Commission,2
University of Illinois Urbana-Champaign,IL,36258,33642,0.8513,Higher Learning Commission,1
Illinois Wesleyan University,IL,1582,70700,0.747,Higher Learning Commission,2
Illinois College,IL,930,48955,0.6382,Higher Learning Commission,2
Illinois Institute of Technology,IL,2833,68164,0.7521,Higher Learning Commission,2
Illinois State University,IL,19057,34309,0.6454,Higher Learning Commission,1
Judson University,IL,708,43137,0.5987,Higher Learning Commission,2
Knox College,IL,1127,68134,0.6773,Higher Learning Commission,2
Lake Forest College,IL,1813,70655,0.7778,Higher Learning Commission,2
Lewis University,IL,4015,47313,0.6661,Higher Learning Commission,2
Loyola University Chicago,IL,11737,67408,0.7304,Higher Learning Commission,2
McKendree University,IL,1752,48845,0.5333,Higher Learning Commission,2
Methodist College,IL,245,46874,0.2,Higher Learning Commission,2
Millikin University,IL,1382,57475,0.5494,Higher Learning Commission,2
Monmouth College,IL,702,57157,0.6461,Higher Learning Commission,2
Moody Bible Institute,IL,1510,34327,0.6233,Higher Learning Commission,2
National Louis University,IL,4406,24154,0.3014,Higher Learning Commission,2
North Central College,IL,2428,57219,0.64,Higher Learning Commission,2
North Park University,IL,1818,44172,0.5772,Higher Learning Commission,2
Northern Illinois University,IL,11301,28851,0.4866,Higher Learning Commission,1
Northwestern University,IL,9201,91250,0.9513,Higher Learning Commission,2
Northeastern Illinois University,IL,3982,26960,0.2165,Higher Learning Commission,1
Olivet Nazarene University,IL,2603,51981,0.6084,Higher Learning Commission,2
Principia College,IL,339,NA,0.7426,Higher Learning Commission,2
Quincy University,IL,1010,50091,0.4504,Higher Learning Commission,2
Rockford University,IL,972,49169,0.472,Higher Learning Commission,2
Roosevelt University,IL,2849,35332,0.3514,Higher Learning Commission,2
Dominican University,IL,2561,43891,0.5526,Higher Learning Commission,2
University of St Francis,IL,1223,46239,0.6682,Higher Learning Commission,2
Saint Xavier University,IL,3096,43244,0.5661,Higher Learning Commission,2
University of Illinois Springfield,IL,2263,25521,0.5321,Higher Learning Commission,1
Southern Illinois University-Carbondale,IL,8494,28329,0.6241,Higher Learning Commission,1
Southern Illinois University Edwardsville,IL,8750,28919,0.5697,Higher Learning Commission,1
Trinity Christian College,IL,820,35012,0.5752,Higher Learning Commission,2
Trinity International University-Illinois,IL,55,16515,0.461,Higher Learning Commission,2
VanderCook College of Music,IL,76,44613,0.6667,Higher Learning Commission,2
Western Illinois University,IL,4410,28254,0.4522,Higher Learning Commission,1
Wheaton College,IL,2121,59263,0.8475,Higher Learning Commission,2
Anderson University,IN,1057,51585,0.5379,Higher Learning Commission,2
