NtsbNo,EventType,EventDate,City,State,Country,N,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,Latitude,Longitude,Make,Model,Operator
WPR21LA244,ACC,2021-06-26T17:15:00Z,Ririe,Idaho,United States,N3208Y,None,0,0,0,43.611669,-111.69451,CESSNA,182E,NA
WPR21LA248,ACC,2021-06-26T13:30:00Z,Chester,California,United States,N41XY,None,0,0,0,40.282361,-121.24116,DEWSNUP DAVE,ZENAIR CH 701 SP,NA
WPR21FA242,ACC,2021-06-26T07:07:00Z,Albuquerque,New Mexico,United States,N158NM,Fatal,5,0,0,35.07742,-106.72294,CAMERON BALLOONS US,O-120,NA
DCA21LA164,ACC,2021-06-25T20:31:00Z,New Orleans,Louisiana,United States,N926UW,Serious,0,1,8,27.598704,-89.948252,AIRBUS,A321-231,American Airlines
ERA21LA269,ACC,2021-06-25T16:50:00Z,Alpine,Alabama,United States,N372NS,Fatal,1,0,0,33.256369,-86.251594,GARLICK HELICOPTERS INC,OH-58A+,EWING FLYING SERVICE LLC
ERA21LA282,ACC,2021-06-25T16:00:00Z,Mount Pocono,Pennsylvania,United States,N5185U,None,0,0,0,41.137694,-75.380055,CESSNA,172S,MOYER AVIATION INC
CEN21LA298,ACC,2021-06-25T14:30:00Z,Jennings,Louisiana,United States,N9038N,None,0,0,0,30.24507,-92.66506,AERO COMMANDER,500 S,NA
WPR21LA247,ACC,2021-06-25T13:45:00Z,Las Vegas,Nevada,United States,N970AA,None,0,0,0,36.080044,-115.15223,SHORT BROS,SD-360-300,ACC Integrated Services Inc
CEN21LA293,ACC,2021-06-25T10:00:00Z,Porter,Texas,United States,N4216J,None,0,0,0,30.153375,-95.321989,PIPER,PA-28-140,NA
CEN21LA291,ACC,2021-06-24T18:45:00Z,Loveland,Colorado,United States,N9277J,None,0,0,0,40.451827,-105.01133,PIPER,PA-28-180,Iron Sights Aviation LLC
